country,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
AT,371.70030281994025,2.834373696337684,0.6908312258970675,0.0866318735106073,3.3323059762351166,45.15733636030053,1.462543624313302,0.1667012495459509,0.4046447774750356,2.0450146702448504,1.290226121091432,7.139259050620959,0.562636011284799,5.6140418447319504,1.38963485533709,15.114621369025729,0.1286072792697677,0.484202108851812,0.0814821011079382,0.1207750237228546,2.604967805229841,2.7101183151746566,0.451388651106115,1.3996510399205464,2.632248809985003,2.125826726514495,1.7481602272731802,3.562439443874391
BE,2.2161814911730193,530.6826213436589,0.2559449867649454,0.1128852858521935,1.4009149718222065,31.884739698752796,6.704606050279882,0.1930648188564637,0.9981238105914088,3.7316319442037016,1.9637015890442848,29.08176122347554,0.0923802115594366,1.4626961478354743,7.362099959538054,11.434895611604968,0.3463692913708041,5.6473259839218475,0.0834190790450677,0.2361015065508162,13.917869343200929,2.374009438233811,0.969617280663761,0.49873826731925,5.511375330039183,0.3273740239251919,0.5898357135709376,11.419860391430593
BG,4.208081420895052,5.3845401197873946,496.4076084033192,0.2528394829480885,1.6607851693492757,16.245148410719757,1.460293017500617,0.1492703759554622,4.625870543126836,3.3627048278524887,0.7772205545441468,6.847740017533093,0.2024166640144829,2.7377133590905105,1.338675952832947,18.44908967471805,0.1942115463973068,0.2033955718777449,0.0952697974327507,0.0949373497696014,2.1980154937079206,1.942870283728988,0.728181915583015,4.61677117846202,1.4513594178708973,0.6179812975952435,0.8141282289453797,4.231978755105343
CY,0.0895720899843961,0.1473708278306059,0.1129249822304897,49.747158784206306,0.0325167720178441,1.693559830282075,0.9032020722984216,0.1008742589038581,1.4439219181049614,0.0563261130620278,0.0436786778673071,0.1723282557962701,0.0068202693754644,0.1058384504649957,0.0999520933592727,0.1247874002909373,0.0171844855283609,0.0574632434471843,0.0199370205816938,0.0794753036666561,0.1458496704548038,0.1006420444223617,0.0134943244605156,0.0779610136875301,0.1739904165867668,0.0126593196057216,0.029265146803064,0.5545235600354492
CZ,12.027003329820287,6.069857901998422,0.81028826519906,0.1386426123226039,418.47668892138984,72.44658371976587,2.9428854676861507,0.4227445430905959,0.35587535818666,5.212920627580003,2.3852762441226454,13.426112230672173,0.3983738351386004,7.583303959108426,2.8958379591743837,17.44513575421157,0.5285488726258696,0.5466797085686086,0.1997789826168681,0.0680144900537132,3.891087861828976,11.444586145581312,0.8108019367115706,1.9261988544172912,5.736975999324262,1.5948540567075802,13.313864588925291,7.747332772236032
DE,61.4399419270345,49.88798355826354,2.80709557407648,0.5292449788081371,27.077262752161054,4373.33160990965,31.07835664272825,1.8914888776802368,4.227755766327709,32.26756144490234,19.13868445706553,135.36728489224404,1.1397903770494329,28.78667775129857,33.90973622892437,99.69816366887464,1.8033105975541095,13.843111878220084,0.6846208582905502,0.8069727879272194,43.41130246921193,33.262543266388775,7.478408698413194,5.9962972727743935,38.67575805242222,4.4112738733077475,12.049292546360387,58.949744804222256
DK,0.6091495055098933,2.2365925786401437,0.0974154870525325,0.0283558756808162,0.3659288648049609,9.639215417364891,327.3117587380676,0.2075405319203421,0.6334772350606129,1.3047401550880815,2.6995765032505235,3.1773093787335296,0.0409926898402674,0.607238309354645,2.567153061254482,2.5331118516608293,0.2299686537622867,0.2701020869637068,0.1216957345496282,0.0762803477679822,1.6603696148156344,1.0574568043196635,0.2111970707014735,0.1036285159294816,10.892009141564882,0.0960427382935307,0.1880841279357973,3.3529037009134637
EE,0.2305970561021636,0.4338046753963051,0.0323636642993573,0.0493433400116858,0.1317701205091886,2.4237587780025907,1.566826549388214,80.45825968068999,0.0981185542591841,0.1981224258415583,5.259917044738087,0.5965424233229966,0.0095352993994633,0.1101859641967971,0.3696869872700394,0.5121461638404151,0.7464508341911787,0.2177667479628918,1.0119700829748297,0.0189591946046774,0.4530008958810751,0.3560422109676451,0.0409895199801015,0.0252156978506755,3.561486718306117,0.0273822011968956,0.0507337165546133,0.5170447872020064
EL,0.6630084033987509,1.628374907682271,1.896632112388963,0.865757398405882,0.3238219916290624,10.007061010251148,1.231590123211688,0.0566045010160383,303.4219706597752,0.838175172565652,0.8486196505452319,4.693466364812737,0.0679904654321567,0.3912668308031406,0.727813870554393,4.787791277556513,0.1677313157183784,0.2429243038186222,0.0648281271070495,0.0918099947775159,1.2376722128060331,0.6632641157397094,0.2205294254454748,0.6282063996104382,1.1892930843793053,0.1612537413776485,0.1505875146725453,3.2642944378968695
ES,3.3688166631868866,9.72019462758016,0.8876792453898876,0.1773426344811445,2.745174092419224,41.66964087257883,7.895681238117797,0.2352810511936681,1.1821142454142664,1468.4553794258263,3.1094521084707156,44.386742102800355,0.180890604921106,2.49409579546917,6.8894790859728525,39.34897315734834,0.5587538420650926,2.753076773691131,0.2070266684281066,0.1831791154963758,6.9409744104842375,4.550862764036281,18.49022201053571,0.9641986105671014,5.374868066153907,0.6582898155836907,1.2146118210432286,30.081586189287684
FI,1.7209177572706835,1.6754913341199105,0.0826036194491867,0.0233418723798068,0.4946052354789659,9.21862068856776,2.4837447234918333,1.8368217977781776,0.2140846204141274,1.6176834798168325,312.7025202832976,3.3467803492800066,0.0384257653658686,0.6282806557443653,1.3524329144891352,3.4088911495664167,0.317853694186066,0.4728143039386714,0.2296372424391355,0.0463878855021488,1.8680364454950853,1.544517576036595,0.2515417209717967,0.1478207397960615,10.73109214908728,0.1272021240140581,0.1842380196608686,2.723843713808775
FR,5.974487163429433,42.80405601082991,0.7243029306551846,0.1597634730044725,3.97381089986002,89.86324957016089,7.177739166191431,0.3817161115999381,2.368055930318959,23.586956014937492,4.335972166769324,2179.809251553319,0.2588835900600151,4.8335590861874085,21.918425495950125,49.17199213335601,0.4723270705948814,7.1847294955431344,0.1615666771899617,0.6532125483428106,17.87157140271875,6.459736230333399,4.3703138026103705,1.9336474190203432,11.970797419450337,1.1571106157678863,2.9977669067341557,33.58126619495622
